timestamp,supplier,product_id,product_name,price,product_type,tags,url
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:swiss-cheese-plant-monstera-adansonii,Swiss Cheese Plant (Monstera adansonii),5.99,Live Plants,"Live, Live Plants",https://www.panterrapets.com/products/swiss-cheese-plant-monstera-adansonii
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:hierodula-indonesia,Hierodula Indonesia,17.99,Mantids,"insect, Live, Mantis, praying mantis",https://www.panterrapets.com/products/hierodula-indonesia
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:congo-green-mantis-s-aurea,Congo Green Mantis (S. aurea),11.99,Mantids,,https://www.panterrapets.com/products/congo-green-mantis-s-aurea
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:zebra-mantis-o-zebrata,Zebra Mantis (O. zebrata),23.99,Mantids,"Live, Mantis",https://www.panterrapets.com/products/zebra-mantis-o-zebrata
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:dying-poison-dart-frog,"Dyeing Poison Dart Frog (Dendrobates tinctorius ""robertus"")",59.99,Frogs,"Frogs, Live",https://www.panterrapets.com/products/dying-poison-dart-frog
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:copy-of-snow-queen-pothos-epipremnum-aureum,Lucky Bamboo (Dracaena sanderiana),3.99,Live Plants,Live Plants,https://www.panterrapets.com/products/copy-of-snow-queen-pothos-epipremnum-aureum
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:golden-pothos-epipremnum-aureum,Golden Pothos (Epipremnum aureum),4.99,Live Plants,Live Plants,https://www.panterrapets.com/products/golden-pothos-epipremnum-aureum
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:snow-queen-pothos-epipremnum-aureum,Snow Queen Pothos (Epipremnum aureum),5.99,Live Plants,Live Plants,https://www.panterrapets.com/products/snow-queen-pothos-epipremnum-aureum
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:red-nerve-plant-fittonia,Red Nerve Plant (Fittonia),6.99,Live Plants,Live Plants,https://www.panterrapets.com/products/red-nerve-plant-fittonia
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:cryptic-mantis,Cryptic Mantis (S. pretiosa),18.99,Mantids,"Live, Mantis",https://www.panterrapets.com/products/cryptic-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:grizzled-mantis,Grizzled Mantis (G. grisea),24.99,Mantids,"Live, Mantis, NEW",https://www.panterrapets.com/products/grizzled-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:thistle-mantis,Thistle Mantis (B. mendica),12.99,Mantids,"Live, Mantis, SALE",https://www.panterrapets.com/products/thistle-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:spiny-flower-mantis,Spiny Flower Mantis (P. wahlbergii),24.99,Mantids,"Live, Mantis, SALE",https://www.panterrapets.com/products/spiny-flower-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:indian-grass-mantis,Indian Grass Mantis (S. Bicornis),19.99,Mantids,"Live, Mantis, NEW!",https://www.panterrapets.com/products/indian-grass-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:wandering-violin-mantis,Wandering Violin Mantis (G. gongylodes),29.99,Mantids,"Live, Mantis, Past Species",https://www.panterrapets.com/products/wandering-violin-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:giant-asian-mantis,Giant Asian Mantis (H. membranacea),14.99,Mantids,"Live, Mantis, SALE",https://www.panterrapets.com/products/giant-asian-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:indian-flower-mantis,Jewelled Flower Mantis (C. gemmatus),16.99,Mantids,"Live, Mantis",https://www.panterrapets.com/products/indian-flower-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:peruvian-leaf-mantis,Peruvian Leaf Mantis (P. Perpulchra),19.99,Mantids,"Live, Mantis, praying mantis",https://www.panterrapets.com/products/peruvian-leaf-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:uniheat-72-hour-heat-packs-1,UniHeat 40-Hour Heat Packs,4.99,Supplies,,https://www.panterrapets.com/products/uniheat-72-hour-heat-packs-1
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:uniheat-72-hour-heat-packs,UniHeat 72-Hour Heat Packs,7.99,Supplies,,https://www.panterrapets.com/products/uniheat-72-hour-heat-packs
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:silk-plant-fall-foliage,Silk Plant - Fall Foliage,13.99,Decor,,https://www.panterrapets.com/products/silk-plant-fall-foliage
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:giant-shield-mantis-r-megaera,Giant Shield Mantis (R. Stalli),21.99,Mantids,"giant shield mantis, Live, Mantis, praying mantis",https://www.panterrapets.com/products/giant-shield-mantis-r-megaera
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:giant-african-stick-mantis,Giant African Stick Mantis (Heterochaeta),26.99,Mantids,"Live, Mantis",https://www.panterrapets.com/products/giant-african-stick-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:chinese-mantis,Chinese Mantis (T. sinensis),13.99,Mantids,"Live, Mantis, NEW",https://www.panterrapets.com/products/chinese-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:carolina-mantis,Carolina Mantis (S. carolina),13.99,Mantids,"Live, Mantis",https://www.panterrapets.com/products/carolina-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:golden-giant-asian-mantis,Golden Giant Asian mantis (H. venosa),15.99,Mantids,,https://www.panterrapets.com/products/golden-giant-asian-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:copy-of-glass-feeding-dish-suction-cup,Glass Feeding Dish - Suction Cup,6.99,Supplies,"Feeders, Flies, NEW!",https://www.panterrapets.com/products/copy-of-glass-feeding-dish-suction-cup
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:glass-feeding-dish-flat,Glass Feeding Dish - Flat,5.99,Supplies,"Feeders, Flies, NEW!",https://www.panterrapets.com/products/glass-feeding-dish-flat
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:giant-devils-flower-mantis,Giant Devil's Flower Mantis (I. diabolica),44.99,Mantids,"Live, Mantis",https://www.panterrapets.com/products/giant-devils-flower-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:ivy-branch,Silk Plant - Ivy Branch,12.99,Decor,,https://www.panterrapets.com/products/ivy-branch
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:leafy-branch,Silk Plant - Leafy Branch,12.99,Decor,,https://www.panterrapets.com/products/leafy-branch
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:white-flower,Silk Plant - White Flower,15.99,Decor,,https://www.panterrapets.com/products/white-flower
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:pink-orchid-flower,Silk Plant - Pink Orchid Flower,18.99,Decor,,https://www.panterrapets.com/products/pink-orchid-flower
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:deli-cups-vented-lids,32oz Deli Cups & Vented Lids,3.99,Supplies,"Enclosures, Flies, Fruit Flies",https://www.panterrapets.com/products/deli-cups-vented-lids
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:mesh-popup-cage-mini-round,"Mesh Popup Cage, Mini Round (5x7)",7.99,Enclosures,"Enclosures, Mesh, Net cage, SALE",https://www.panterrapets.com/products/mesh-popup-cage-mini-round
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:extra-long-scissors,Extra Long Terrarium Scissors,7.99,Tools,SALE,https://www.panterrapets.com/products/extra-long-scissors
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:ghost-mantis,Ghost Mantis (P. paradoxa),18.99,Mantids,"Live, Mantis",https://www.panterrapets.com/products/ghost-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:fruit-fly-starter-culture,Flightless Fruit Fly Starter Culture,4.99,Feeders,"Feeders, Fruit Flies, Live, Repashy",https://www.panterrapets.com/products/fruit-fly-starter-culture
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:panterras-box-praying-mantis-habitat,PanTerra's Box - Praying Mantis Habitat,45.99,Enclosures,"Enclosures, Mantis",https://www.panterrapets.com/products/panterras-box-praying-mantis-habitat
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:new-zealand-sphagnum-moss,New Zealand Sphagnum Moss,8.99,Supplies,"Moss, SALE, Spagmoss, Sphagnum, Substrates",https://www.panterrapets.com/products/new-zealand-sphagnum-moss
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:fruit-fly-culturing-kit,Fruit Fly Culturing Kit,16.99,Supplies,"Feeders, Fruit Flies, Repashy",https://www.panterrapets.com/products/fruit-fly-culturing-kit
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:praying-mantis-habitat-starter-kit,Praying Mantis Habitat Starter Kit,18.99,Enclosures,"Enclosures, Fruit Flies, Mantis, Spagmoss, Sphagnum",https://www.panterrapets.com/products/praying-mantis-habitat-starter-kit
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:spray-bottles,Spray Bottles,2.99,Tools,SALE,https://www.panterrapets.com/products/spray-bottles
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:mesh-popup-cage-tall,"Mesh Popup Cage, Tall (13.5x13.5x24) White or Black",13.49,Enclosures,"Enclosures, Mesh, Net cage, SALE",https://www.panterrapets.com/products/mesh-popup-cage-tall
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:mesh-popup-cage-medium-12x12x12,"Mesh Popup Cage, Medium (12x12x12)",10.99,Enclosures,"Enclosures, Mesh, Net cage",https://www.panterrapets.com/products/mesh-popup-cage-medium-12x12x12
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:extra-long-tweezers-straight-or-angled-tip,Extra Long Tweezers - Straight or Angled Tip,7.99,Tools,,https://www.panterrapets.com/products/extra-long-tweezers-straight-or-angled-tip
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:blue-bottle-flies,Blue Bottle Fly Pupae,5.99,Feeders,"Feeders, Flies, Live",https://www.panterrapets.com/products/blue-bottle-flies
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:orchid-mantis,Orchid Mantis (H. coronatus),45.99,Mantids,"Live, Mantis, SALE",https://www.panterrapets.com/products/orchid-mantis
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:repashy-superfly,Repashy SuperFly - Fruit Fly Culture Media,9.99,Supplies,"Feeders, Flies, Fruit Flies, Repashy, SALE",https://www.panterrapets.com/products/repashy-superfly
2026-04-05T04:11:47.082427+00:00,PanTerra Pets,panterra-pets:repashy-bug-burger,Repashy Bug Burger - Complete Feeder Insect Diet (Gel Premix),5.99,Supplies,"Feeders, Isopods, Repashy, SALE",https://www.panterrapets.com/products/repashy-bug-burger
2026-04-05T04:11:47.082427+00:00,USMANTIS,usmantis:dwarf-tropical-white-isopods-25-ct-and-temperate-springtails-8oz-bioactive-bundle,Dwarf Tropical White Isopods (25 ct) + Temperate Springtails (8oz) Bioactive Bundle.,38.0,Bioactive,"auction, bioactive, usamantis, usmantis",https://usmantis.com/products/dwarf-tropical-white-isopods-25-ct-and-temperate-springtails-8oz-bioactive-bundle
